,Node Number,Thread Number,T/R,Processor Utilization ,Channel Waiting Time,Input Waiting Time,Network Response Time,Channel Utilization
0,64,4,"0,1","0,839546","1,974686","308,491814","700,514102","0,352431"
1,64,4,"0,2","0,827412","9,556437","291,037663","864,599227","0,506302"
2,64,4,"0,3","0,802605","27,027618","264,928002","839,372851","0,638516"
3,64,4,"0,4","0,723403","61,848511","235,776888","1256,053108","0,767051"
4,64,4,"0,5","0,72121","121,085884","189,680044","1343,875577","0,807812"
5,64,4,"0,6","0,647035","205,881088","145,988097","1574,366301","0,841771"
6,64,4,"0,7","0,567402","284,999115","118,323674","1974,853192","0,85033"
7,64,4,"0,8","0,511627","368,157288","92,003542","1845,521914","0,865625"
8,64,4,"0,9","0,47056","431,169037","80,43286","2605,196106","0,888828"
9,64,4,1,"0,421877","505,119598","68,518468","2586,130982","0,882552"
10,64,6,"0,1","0,901173","2,153823","495,533336","866,002265","0,370026"
11,64,6,"0,2","0,897863","11,002777","469,872618","1188,628365","0,53691"
12,64,6,"0,3","0,871957","31,924433","447,158333","1351,075304","0,65737"
13,64,6,"0,4","0,853846","84,117371","395,848075","1413,081946","0,772778"
14,64,6,"0,5","0,796428","194,432526","311,877373","1804,085211","0,852561"
15,64,6,"0,6","0,731779","341,365112","217,600589","2114,035099","0,910729"
16,64,6,"0,7","0,640211","495,164948","157,213968","2275,428465","0,916259"
17,64,6,"0,8","0,568923","626,139282","121,870069","3297,253072","0,924583"
18,64,6,"0,9","0,514046","741,330261","101,696076","2923,876773","0,931484"
19,64,6,1,"0,463145","851,930115","86,442861","3808,98919","0,931076"
20,64,8,"0,1","0,923706","2,222387","688,57719","1141,277162","0,346441"
21,64,8,"0,2","0,922138","11,448802","664,122822","1192,856244","0,518889"
22,64,8,"0,3","0,928869","36,851643","622,974259","1456,320301","0,683047"
23,64,8,"0,4","0,911611","97,074905","559,575905","1949,797805","0,809028"
24,64,8,"0,5","0,850776","260,288574","438,777004","2531,21942","0,888976"
25,64,8,"0,6","0,768916","498,907104","281,908378","2677,461345","0,933802"
26,64,8,"0,7","0,673281","703,671875","202,216033","3430,493664","0,940807"
27,64,8,"0,8","0,601595","886,009094","147,831672","3378,167663","0,951667"
28,64,8,"0,9","0,538158","1042,865601","123,761679","4793,187737","0,955781"
29,64,8,1,"0,488247","1182,806885","108,13343","5033,174441","0,960156"
30,64,10,"0,1","0,961658","2,323333","865,229508","1212,364504","0,359453"
31,64,10,"0,2","0,950974","12,018917","845,739986","1818,518585","0,52724"
32,64,10,"0,3","0,938148","36,704994","814,701175","1860,231397","0,677891"
33,64,10,"0,4","0,934972","106,477081","726,08212","1910,845894","0,817049"
34,64,10,"0,5","0,911155","289,791046","561,201404","2968,873768","0,883964"
35,64,10,"0,6","0,954375","569,042358","328,673091","3327,975791","0,794956"
36,64,10,"0,7","0,960799","770,286499","237,074701","4402,212045","0,697823"
37,64,10,"0,8","0,626211","943,934143","176,311116","4042,570405","0,972709"
38,64,10,"0,9","0,557324","1112,935791","137,785534","5117,790831","0,972031"
39,64,10,1,"0,504446","1258,460205","125,978201","6065,736672","0,973524"
320,16,4,"0,1","0,837166","2,004246","264,944191","547,570481","0,607049"
321,16,4,"0,2","0,799354","9,472887","260,322674","571,093509","0,684306"
322,16,4,"0,3","0,852871","29,294453","209,804258","693,270291","0,779792"
323,16,4,"0,4","0,763965","66,187737","196,745354","832,28476","0,795"
324,16,4,"0,5","0,729444","133,006058","157,230179","1194,286232","0,827951"
325,16,4,"0,6","0,625584","202,418213","128,417501","1261,044228","0,857292"
326,16,4,"0,7","0,560313","281,745117","98,304158","1657,765373","0,878403"
327,16,4,"0,8","0,531492","349,288635","85,586606","1827,375029","0,899167"
328,16,4,"0,9","0,476232","411,124512","75,172233","1999,516709","0,909375"
329,16,4,1,"0,423975","498,134125","64,562717","1698,50628","0,876389"
330,16,6,"0,1","0,914756","2,220169","465,308045","652,441763","0,515521"
331,16,6,"0,2","0,91516","11,093018","432,340411","1003,826707","0,664167"
332,16,6,"0,3","0,904898","35,288231","396,832563","811,330775","0,762292"
333,16,6,"0,4","0,861362","86,183983","363,243995","1177,194924","0,829028"
334,16,6,"0,5","0,792027","218,846512","271,082784","1003,120135","0,867535"
335,16,6,"0,6","0,705315","362,37619","192,780636","1718,83999","0,892083"
336,16,6,"0,7","0,637113","494,74469","144,197162","2071,088303","0,918021"
337,16,6,"0,8","0,565409","620,136169","109,11666","2622,311601","0,920833"
338,16,6,"0,9","0,505995","746,678711","97,670696","2646,366771","0,90375"
339,16,6,1,"0,455567","849,864807","86,230127","3239,210381","0,901736"
